Class,Obfuscation Level,FuzzyArcFace Similarity,ArcFace Similarity,FuzzyArcFace1 Similarity,FuzzyArcFace2 Similarity,FuzzyArcFace3 Similarity
006,30.0,,0.9406517,0.9468242,0.9509074,0.9661295
007,5.0,,0.99520284,0.99539185,0.9962011,0.9968068
007,10.0,,0.988772,0.98882025,0.99009013,0.99187607
007,15.0,,0.98142475,0.9820901,0.9829766,0.98946166
007,20.0,,0.9712038,0.97110987,0.9728897,0.9806579
007,25.0,,0.9565276,0.9618976,0.9551039,0.97492146
007,30.0,,0.9438897,0.9563959,0.94403493,0.96801454
008,5.0,,0.9957397,0.99467677,0.99506634,0.9973917
008,10.0,,0.98923093,0.9905777,0.9904244,0.9941021
008,15.0,,0.9797198,0.98182493,0.98148024,0.98837614
008,20.0,,0.9738212,0.9740919,0.9725688,0.9843843
008,25.0,,0.9557438,0.95931715,0.95669067,0.9729454
008,30.0,,0.9418663,0.95256907,0.94743836,0.9694444
009,5.0,,0.9952091,0.9956567,0.9962445,0.99729913
009,10.0,,0.98998886,0.9905353,0.9907207,0.9921902
009,15.0,,0.97773343,0.9831126,0.98150814,0.9884328
009,20.0,,0.9692449,0.9725437,0.97303593,0.9816185
009,25.0,,0.95893174,0.96470153,0.9610463,0.97244686
009,30.0,,0.9419569,0.95529366,0.94791275,0.96956706
010,5.0,,0.9945418,0.99465436,0.994813,0.99623686
010,10.0,,0.9904353,0.9888566,0.9891834,0.99377304
010,15.0,,0.9763336,0.9831208,0.98251116,0.98765165
010,20.0,,0.96395046,0.9721784,0.9704611,0.9834247
010,25.0,,0.9572478,0.96278787,0.9613697,0.97480464
010,30.0,,0.94211227,0.9545737,0.94564736,0.97335225
011,5.0,,0.99562687,0.9956876,0.9951405,0.99648124
011,10.0,,0.99009216,0.98975044,0.9884447,0.9931418
011,15.0,,0.9748706,0.98167115,0.982796,0.98831135
011,20.0,,0.9709271,0.97252285,0.973313,0.98286706
011,25.0,,0.95503885,0.9613934,0.9603068,0.9733869
011,30.0,,0.9444398,0.9501833,0.94750416,0.9670676
012,5.0,,0.99571455,0.99543667,0.99577665,0.99726224
012,10.0,,0.9881886,0.98761445,0.9906443,0.99266475
012,15.0,,0.9796428,0.9833642,0.98315966,0.98623407
012,20.0,,0.9637685,0.973354,0.96402425,0.9783988
